id_municipio,ano,pib
1100205,2017,16974627000
1100296,2017,153096000
1301407,2017,434006000
1302801,2017,153885000
1400308,2017,299920000
1501204,2017,356595000
1502509,2017,181414000
1508084,2017,757450000
1508407,2017,1218114000
1702109,2017,4140528000
1702208,2017,390779000
1712801,2017,33224000
1713304,2017,227744000
1718840,2017,69821000
1720978,2017,83396000
2103505,2017,321582000
2103901,2017,68642000
2108405,2017,76885000
2110906,2017,71996000
2111672,2017,43145000
2112456,2017,156656000
2201929,2017,36671000
2203354,2017,44231000
2203453,2017,56718000
2204303,2017,146169000
2210383,2017,20291000
2403509,2017,72127000
2403756,2017,31964000
2414506,2017,129502000
2505204,2017,56891000
2508109,2017,37793000
2605459,2017,153534000
2611533,2017,49179000
2613503,2017,256606000
2706448,2017,151348000
2804409,2017,271266000
2901205,2017,167087000
2913705,2017,454614000
2918902,2017,54633000
2920007,2017,93910000
2923902,2017,97476000
2929305,2017,845394000
2933307,2017,6511654000
3107703,2017,75721000
3115474,2017,39496000
3121209,2017,161809000
3126505,2017,65934000
3129509,2017,918417000
3132404,2017,3010403000
3133006,2017,722943000
3133600,2017,302883000
3134905,2017,633788000
3140605,2017,44127000
3144656,2017,75958000
3144706,2017,321599000
3152501,2017,7390810000
3154804,2017,131655000
3160504,2017,22201000
3168507,2017,130976000
3168903,2017,190596000
3205150,2017,136966000
3302106,2017,503244000
3302254,2017,4363453000
3302858,2017,2313400000
3303500,2017,16836919000
3305802,2017,5090374000
3501400,2017,50876000
3502101,2017,1976248000
3504107,2017,6466468000
3505203,2017,1130698000
3523107,2017,6993619000
3525854,2017,108251000
3531100,2017,1013267000
3539004,2017,308172000
3543204,2017,142952000
3544202,2017,226415000
3551306,2017,273316000
4100301,2017,187943000
4104808,2017,11378218000
4106605,2017,778291000
4108304,2017,13468176000
4108908,2017,296262000
4112207,2017,147095000
4122909,2017,94168000
4123857,2017,184770000
4210308,2017,185874000
4210506,2017,1055389000
4300901,2017,879723000
4302055,2017,30682000
4304408,2017,1035993000
4304606,2017,18883627000
4304689,2017,195153000
4305959,2017,146542000
4306072,2017,50783000
4307807,2017,1419197000
4308904,2017,513078000
4312617,2017,378072000
4321469,2017,105293000
4322558,2017,56958000
5003108,2017,107551000
5006275,2017,618054000
5008008,2017,466114000
5103106,2017,137949000
5104609,2017,1093849000
5106240,2017,1026965000
5106315,2017,34560000
5204003,2017,210072000
5205497,2017,742656000
5210406,2017,1264393000
5212006,2017,49522000
5212709,2017,77293000
1100130,2017,587758000
1300201,2017,141205000
1303106,2017,234351000
1503200,2017,304516000
1701903,2017,133138000
2100550,2017,49035000
2110609,2017,248031000
2114007,2017,386206000
2200608,2017,55261000
2202901,2017,381064000
2204709,2017,122334000
2205151,2017,43091000
2208007,2017,1425827000
2211209,2017,1261586000
2302701,2017,225833000
2304004,2017,150373000
2305233,2017,1597151000
2313559,2017,101257000
2400604,2017,36038000
2401404,2017,134750000
2401503,2017,35278000
2405009,2017,60725000
2406403,2017,31108000
2410207,2017,59757000
2411403,2017,124274000
2500304,2017,266622000
2503100,2017,48285000
2507200,2017,105331000
2512036,2017,33453000
2601904,2017,711513000
2603207,2017,417640000
2604304,2017,87530000
2607950,2017,101857000
2708600,2017,977489000
2804300,2017,82173000
2910602,2017,561103000
3104452,2017,43945000
3114105,2017,184488000
3117603,2017,268781000
3122355,2017,123853000
3135456,2017,69760000
3138203,2017,2486306000
3142106,2017,130089000
3145372,2017,50754000
3146404,2017,59756000
3153301,2017,27659000
3160454,2017,48678000
3161205,2017,96228000
3161650,2017,37035000
3164472,2017,68162000
3170750,2017,181466000
3203320,2017,1611911000
3205176,2017,257152000
3205200,2017,10959511000
3302056,2017,327528000
3303302,2017,27489576000
3303708,2017,931266000
3304300,2017,1600886000
3513306,2017,92617000
3515707,2017,2958651000
3518602,2017,865122000
3525805,2017,51592000
3533106,2017,29735000
3533700,2017,135093000
3533908,2017,1991159000
3536703,2017,1933247000
3536802,2017,80217000
3536901,2017,64227000
3538709,2017,23719579000
3550605,2017,2780801000
3552908,2017,150738000
3554102,2017,16203121000
4106852,2017,103879000
4108403,2017,3070112000
4110201,2017,176278000
4111803,2017,1179177000
4119707,2017,105710000
4122651,2017,81964000
4128104,2017,3285160000
4205456,2017,813485000
4212304,2017,181155000
4218251,2017,187298000
4301503,2017,305653000
4306908,2017,525828000
4307559,2017,330675000
4311007,2017,709334000
4312351,2017,54162000
4313391,2017,86655000
4313425,2017,117418000
4313441,2017,45727000
4316956,2017,190770000
4317202,2017,2824253000
4321907,2017,786603000
5004502,2017,648882000
5209291,2017,32219000
5210901,2017,331348000
5215603,2017,486212000
5219209,2017,113070000
5219605,2017,62551000
1101435,2017,121147000
1303536,2017,445555000
1400472,2017,530590000
1502152,2017,4089225000
1504422,2017,1788121000
1505031,2017,608458000
1505064,2017,839946000
1506161,2017,476846000
1507458,2017,441677000
1600709,2017,202010000
1706001,2017,95824000
1708205,2017,396153000
2101905,2017,119026000
2104701,2017,42154000
2111607,2017,385799000
2112209,2017,1796157000
2112704,2017,307783000
2200053,2017,44378000
2203255,2017,26143000
2203420,2017,31910000
2205599,2017,45737000
2207751,2017,35342000
2207900,2017,289648000
2304103,2017,745345000
2304400,2017,61592347000
2307601,2017,916986000
2311801,2017,1129464000
2400406,2017,25490000
2412559,2017,419572000
2413508,2017,54688000
2501500,2017,232450000
2507606,2017,63093000
2508505,2017,57242000
2509396,2017,50512000
2512788,2017,21693000
2603454,2017,1756760000
2604809,2017,105235000
2607653,2017,494818000
2612208,2017,792338000
