id_municipio,sigla_uf,ano,populacao
1300409,AM,2019,27502
1300409,AM,2022,18399
1300508,AM,2017,31542
1300508,AM,2019,32041
1300508,AM,2022,30990
1300607,AM,2017,41329
1300607,AM,2019,42984
1300607,AM,2022,37436
1300631,AM,2017,18978
1300631,AM,2019,19679
1300631,AM,2022,20807
1300680,AM,2017,18483
1300680,AM,2019,19207
1300680,AM,2022,24018
1300706,AM,2017,34176
1300706,AM,2019,34308
1300706,AM,2022,35964
1300805,AM,2017,40464
1300805,AM,2019,41161
1300805,AM,2022,33209
1300839,AM,2017,12820
1300839,AM,2019,13081
1300839,AM,2022,13851
1300904,AM,2017,15490
1300904,AM,2019,15629
1300904,AM,2022,17362
1301001,AM,2017,28337
1301001,AM,2019,28294
1301001,AM,2022,29176
1301100,AM,2017,37399
1301100,AM,2019,37869
1301100,AM,2022,30819
1301159,AM,2017,29190
1301159,AM,2019,30225
1301159,AM,2022,19615
1301209,AM,2017,84762
1301209,AM,2019,85097
1301209,AM,2022,71130
1301308,AM,2017,27817
1301308,AM,2019,28637
1301308,AM,2022,24071
1301407,AM,2017,34888
1301407,AM,2019,35273
1301407,AM,2022,33173
1301506,AM,2017,19492
1301506,AM,2019,20033
1301506,AM,2022,17034
1301605,AM,2017,19669
1301605,AM,2019,17609
1301605,AM,2022,27692
1301654,AM,2017,16339
1301654,AM,2019,16678
1301654,AM,2022,13809
1301704,AM,2017,53383
1301704,AM,2019,55080
1301704,AM,2022,59504
1301803,AM,2017,28299
1301803,AM,2019,29689
1301803,AM,2022,24387
1301852,AM,2017,47407
1301852,AM,2019,48296
1301852,AM,2022,59767
1301902,AM,2017,99854
1301902,AM,2019,101337
1301902,AM,2022,156216
1301951,AM,2017,8128
1301951,AM,2019,7851
1301951,AM,2022,10783
1302009,AM,2017,9125
1302009,AM,2019,9148
1302009,AM,2022,10183
1302108,AM,2017,4205
1302108,AM,2019,2755
1302108,AM,2022,9281
1302207,AM,2017,13956
1302207,AM,2019,14712
1302207,AM,2022,10501
1302306,AM,2017,15824
1302306,AM,2019,14317
1302306,AM,2022,25048
1302405,AM,2017,44861
1302405,AM,2019,46069
1302405,AM,2022,47003
1302504,AM,2017,96460
1302504,AM,2019,97377
1302504,AM,2022,102736
1302553,AM,2017,30222
1302553,AM,2019,32105
1302553,AM,2022,17333
1302603,AM,2017,2130264
1302603,AM,2019,2182763
1302603,AM,2022,2054731
1302702,AM,2017,54708
1302702,AM,2019,55751
1302702,AM,2022,59225
1302801,AM,2017,18531
1302801,AM,2019,18224
1302801,AM,2022,15706
1302900,AM,2017,62212
1302900,AM,2019,63905
1302900,AM,2022,61167
1303007,AM,2017,20902
1303007,AM,2019,21173
1303007,AM,2022,20249
1303106,AM,2017,36431
1303106,AM,2019,37378
1303106,AM,2022,27088
1303205,AM,2017,18586
1303205,AM,2019,19454
1303205,AM,2022,15819
1303304,AM,2017,25112
1303304,AM,2019,25644
1303304,AM,2022,24251
1303403,AM,2017,113832
1303403,AM,2019,114273
1303403,AM,2022,96251
1303502,AM,2017,19597
1303502,AM,2019,19426
1303502,AM,2022,20351
1303536,AM,2017,34574
1303536,AM,2019,36279
1303536,AM,2022,30762
1303569,AM,2017,32001
1303569,AM,2019,33347
1303569,AM,2022,24807
1303601,AM,2017,23765
1303601,AM,2019,25156
1303601,AM,2022,14305
1303700,AM,2017,23075
1303700,AM,2019,21602
1303700,AM,2022,28233
1303809,AM,2017,44553
1303809,AM,2019,45564
1303809,AM,2022,51921
1303908,AM,2017,38047
1303908,AM,2019,39299
1303908,AM,2022,32727
1303957,AM,2017,13421
1303957,AM,2019,14020
1303957,AM,2022,11697
1304005,AM,2017,9211
1304005,AM,2019,9171
1304005,AM,2022,11572
1304062,AM,2017,63635
1304062,AM,2019,65844
1304062,AM,2022,66837
1304104,AM,2017,17930
1304104,AM,2019,17156
1304104,AM,2022,21914
1304203,AM,2017,62021
1304203,AM,2019,59849
1304203,AM,2022,74142
1304237,AM,2017,18782
1304237,AM,2019,18755
1304237,AM,2022,20180
1304260,AM,2017,13428
1304260,AM,2019,13540
1304260,AM,2022,14597
1304302,AM,2017,16968
1304302,AM,2019,16256
1304302,AM,2022,18582
1304401,AM,2017,22148
1304401,AM,2019,23065
1304401,AM,2022,24017
1400027,RR,2017,11560
1400027,RR,2019,12796
1400027,RR,2022,16994
1400050,RR,2017,15933
1400050,RR,2019,15510
1400050,RR,2022,23582
1400100,RR,2017,332020
1400100,RR,2019,399213
1400100,RR,2022,408157
1400159,RR,2017,11945
1400159,RR,2019,12409
1400159,RR,2022,16169
1400175,RR,2017,16877
1400175,RR,2019,18335
1400175,RR,2022,18030
1400209,RR,2017,20807
1400209,RR,2019,21926
1400209,RR,2022,20780
1400233,RR,2017,9493
1400233,RR,2019,10169
1400233,RR,2022,10555
1400282,RR,2017,10859
1400282,RR,2019,11950
1400282,RR,2022,11000
1400308,RR,2017,16852
1400308,RR,2019,17853
1400308,RR,2022,17058
1400407,RR,2017,10527
1400407,RR,2019,11290
1400407,RR,2022,15264
1400456,RR,2017,12375
1400456,RR,2019,17401
1400456,RR,2022,19317
