id_municipio,sigla_uf,ano,valor
1200252,AC,2017,10800596.05
1200807,AC,2017,9544746.95
1200393,AC,2017,13084344.18
1200336,AC,2017,15889290.67
1200013,AC,2017,11751580.25
1200179,AC,2017,10009865.4
1200435,AC,2017,9050789.25
1600238,AP,2017,11039245.51
1600303,AP,2017,202896057.59
1600204,AP,2017,8514244.49
1600535,AP,2017,15591011.56
1600600,AP,2017,47711234.1
1600550,AP,2017,2616654.77
1301951,AM,2017,12683193.05
1301100,AM,2017,32275072.74
1300706,AM,2017,21427715.06
1303536,AM,2017,47887520.27
1300144,AM,2017,9285600.08
1300904,AM,2017,9006957.15
1302702,AM,2017,38010713.71
1300631,AM,2017,23127334.05
1303502,AM,2017,14652806.49
1303403,AM,2017,76978238.76
1304401,AM,2017,13481455.45
1301852,AM,2017,54595290.98
1304203,AM,2017,55930548.19
1303304,AM,2017,14534741.43
1303569,AM,2017,24592146.8
1300086,AM,2017,8366214.71
1304104,AM,2017,9571152.83
1300060,AM,2017,10928605.01
1301605,AM,2017,21556855.27
1301704,AM,2017,33954385.02
1303205,AM,2017,12033766.49
1300201,AM,2017,20744130.42
1100122,RO,2017,48281686.06
1100924,RO,2017,11703680.95
1100320,RO,2017,19044350.33
1100130,RO,2017,27296925.64
1101203,RO,2017,7237699.54
1101492,RO,2017,14187372.33
1101559,RO,2017,4634613.02
1100080,RO,2017,10965829.81
1101468,RO,2017,3812114.54
1101005,RO,2017,7452067.4
1101450,RO,2017,4090792.98
1101302,RO,2017,7109185.68
1100189,RO,2017,24196236.78
1100338,RO,2017,18906548.51
1101757,RO,2017,7860587.55
1101807,RO,2017,6310020.38
1100254,RO,2017,10802885.17
1100023,RO,2017,64242277.67
2803500,SE,2017,74128778.08
2801108,SE,2017,4689158.14
2802106,SE,2017,53659819.0
2802700,SE,2017,8610389.78
2804508,SE,2017,29851507.22
2800506,SE,2017,16879008.14
2807600,SE,2017,22279626.16
2801009,SE,2017,15148841.96
2804458,SE,2017,7352084.43
2803609,SE,2017,30385326.3
2805802,SE,2017,18979843.1
2807204,SE,2017,9644285.69
2806305,SE,2017,19041577.1
2802502,SE,2017,3469681.73
2807303,SE,2017,1163424.24
2802007,SE,2017,10653081.88
2806800,SE,2017,8612516.58
2802601,SE,2017,5354456.6
2804904,SE,2017,18732420.55
2801603,SE,2017,3946555.75
2803906,SE,2017,11061474.65
2801504,SE,2017,23261826.76
2804409,SE,2017,14978190.62
2805307,SE,2017,16199591.28
2806602,SE,2017,7843808.86
2800100,SE,2017,3053361.93
2804003,SE,2017,16078267.73
2804706,SE,2017,5705206.64
5005152,MS,2017,6019358.39
5000609,MS,2017,38472633.18
5005806,MS,2017,13855093.94
5002100,MS,2017,20338318.34
5003207,MS,2017,90770019.72
5005608,MS,2017,24893442.33
5000252,MS,2017,7072893.29
5005004,MS,2017,18668081.35
5003751,MS,2017,7964318.32
5002308,MS,2017,15038649.89
5007406,MS,2017,12004799.29
5006903,MS,2017,19212910.1
5003306,MS,2017,19895678.97
5004809,MS,2017,13874714.88
5005400,MS,2017,39569513.44
5007976,MS,2017,7091027.72
5003157,MS,2017,14294328.05
