id_municipio,sigla_uf,ano,populacao
1303569,AM,2017,32001
1303569,AM,2019,33347
1303601,AM,2017,23765
1303601,AM,2019,25156
1303700,AM,2017,23075
1303700,AM,2019,21602
1303809,AM,2017,44553
1303809,AM,2019,45564
1303908,AM,2017,38047
1303908,AM,2019,39299
1303957,AM,2017,13421
1303957,AM,2019,14020
1304005,AM,2017,9211
1304005,AM,2019,9171
1304062,AM,2017,63635
1304062,AM,2019,65844
1304104,AM,2017,17930
1304104,AM,2019,17156
1304203,AM,2017,62021
1304203,AM,2019,59849
1304237,AM,2017,18782
1304237,AM,2019,18755
1304260,AM,2017,13428
1304260,AM,2019,13540
1304302,AM,2017,16968
1304302,AM,2019,16256
1304401,AM,2017,22148
1304401,AM,2019,23065
1400027,RR,2017,11560
1400027,RR,2019,12796
1400050,RR,2017,15933
1400050,RR,2019,15510
1400100,RR,2017,332020
1400100,RR,2019,399213
1400159,RR,2017,11945
1400159,RR,2019,12409
1400175,RR,2017,16877
1400175,RR,2019,18335
1400209,RR,2017,20807
1400209,RR,2019,21926
1400233,RR,2017,9493
1400233,RR,2019,10169
1400282,RR,2017,10859
1400282,RR,2019,11950
1400308,RR,2017,16852
1400308,RR,2019,17853
1400407,RR,2017,10527
1400407,RR,2019,11290
1400456,RR,2017,12375
1400456,RR,2019,17401
1400472,RR,2017,28215
1400472,RR,2019,30163
1400506,RR,2017,7740
1400506,RR,2019,8201
1400605,RR,2017,7597
1400605,RR,2019,7986
1400704,RR,2017,9836
1400704,RR,2019,10559
1500107,PA,2017,153380
1500107,PA,2019,157698
1500131,PA,2017,7231
1500131,PA,2019,7434
1500206,PA,2017,54096
1500206,PA,2019,55591
1500305,PA,2017,38144
1500305,PA,2019,39218
1500347,PA,2017,26682
1500347,PA,2019,27430
1500404,PA,2017,55246
1500404,PA,2019,56789
1500503,PA,2017,33195
1500503,PA,2019,34109
1500602,PA,2017,111435
1500602,PA,2019,114594
1500701,PA,2017,28466
1500701,PA,2019,29277
1500800,PA,2017,516057
1500800,PA,2019,530598
