id_municipio,sigla_uf,ano,populacao,nome,pib,gastos_educacao,quantidade_matricula,ideb_iniciais,ideb_finais,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,pib_per_capita,gasto_por_aluno,DEA_RCOI,DEA_RCOP,DEA_RVOI,DEA_RVOP,DEA_RNDOI,DEA_RNCOI,DEA_scale_efficiency,DEA_returns_nature
1100015,RO,2019,22945,Alta Floresta D'Oeste,495775000,19035814,1878,4.7,4.6,0.6,4.9,21607.1,10136.22,0.29321458489990393,0.29321458489990354,0.34902885742888873,0.9939999999999952,0.29321458489990376,0.3490288574288888,0.8400869402600717,Crescente
1100023,RO,2019,107863,Ariquemes,2579278000,73389544,7999,5.1,4.4,0.7,0.9,23912.54,9174.84,0.2715535554445225,0.2715535554445352,0.3410887816141815,0.9930000000000013,0.2715535554445223,0.3410887816141815,0.7961374577006377,Decrescente
1100049,RO,2019,85359,Cacoal,2261930000,52561942,4560,5.6,4.3,0.0,0.7,26499.02,11526.74,0.25274917360460797,0.2527491736046122,0.42138856507296174,1.0,0.2527491736046082,0.4213885650729618,0.599800741059135,Crescente
1100098,RO,2019,32374,Espigão D'Oeste,624787000,20515267,2224,5.9,4.5,0.1,0.4,19299.04,9224.49,0.35164633376972315,0.3516463337697242,0.4737637375537326,0.9990000000000001,0.3516463337697231,0.4737637375537326,0.7422398674610268,Decrescente
1100148,RO,2019,20474,Nova Brasilândia D'Oeste,359625000,15284821,1690,6.8,5.7,0.0,0.0,17564.96,9044.27,0.43175515196854675,0.4317551519685487,0.7224284389058825,1.0,0.43175515196854697,0.7224284389058825,0.5976441799861031,Decrescente
1100304,RO,2019,99854,Vilhena,2832738000,73555009,7929,5.6,4.6,0.1,0.3,28368.8,9276.71,0.2526430868905521,0.25264308689082227,0.3766993001160493,0.9989999999999888,0.2526430868905522,0.3766993001160493,0.6706757533468224,Decrescente
1100320,RO,2019,23005,São Miguel do Guaporé,616830000,19509945,2377,5.1,4.5,0.1,0.3,26812.87,8207.8,0.25548849507807797,0.2554884950780803,0.4014069395656947,0.9990000000000028,0.2554884950780781,0.40140693956569473,0.6364825066415287,Crescente
1100346,RO,2019,14411,Alvorada D'Oeste,260403000,10237893,1296,5.1,4.1,0.2,0.2,18069.74,7899.61,0.35127894574148627,0.3512789457414696,0.4925819395293146,0.9979999999999997,0.35127894574148605,0.49258193952931484,0.7131380945008864,Crescente
1100379,RO,2019,13241,Alto Alegre dos Parecis,288721000,14714304,1679,5.2,4.1,0.5,2.4,21805.08,8763.73,0.2979324720846437,0.2979324720846436,0.3746772369110807,0.9950000000000014,0.2979324720846438,0.3746772369110805,0.7951709971517426,Crescente
1101203,RO,2019,9660,Ministro Andreazza,216434000,7979458,822,5.6,5.2,0.0,2.0,22405.18,9707.37,0.3156131515208285,0.3156131515208289,0.529432276713546,1.0,0.3156131515208287,0.529432276713546,0.5961350778989128,Decrescente
1101450,RO,2019,6074,Parecis,107301000,5614090,490,4.1,4.3,0.0,2.6,17665.62,11457.33,0.31756093455578727,0.31756093455578954,0.4216403377879414,1.0,0.3175609345557876,0.4216403377879459,0.753155962785279,Crescente
1101559,RO,2019,4308,Teixeirópolis,92344000,5324834,560,5.5,4.9,0.0,0.5,21435.47,9508.63,0.31144096168507346,0.31144096168507324,0.5221699222954695,1.0,0.3114409616850735,0.5221699222954693,0.5964360419611545,Crescente
1101708,RO,2019,11467,Urupá,215416000,12540196,1367,5.7,4.2,0.0,0.4,18785.73,9173.52,0.35172538801735825,0.35172538801735825,0.5346107990326988,1.0,0.3517253880173583,0.5346107990326989,0.6579092466028644,Crescente
1101807,RO,2019,6825,Vale do Paraíso,146544000,7178876,797,4.7,5.0,0.3,3.0,21471.65,9007.37,0.32081108093054467,0.3208110809305449,0.43070798819712314,0.9970000000000002,0.3208110809305443,0.430707988197123,0.7448459042364413,Crescente
1200203,AC,2019,88376,Cruzeiro do Sul,1439760000,57313850,6773,5.2,4.3,0.6,5.9,16291.3,8462.11,0.3768971361235224,0.37689713612352543,0.42859521998587036,0.9940000000000042,0.3768971361235224,0.4285952199858704,0.8793778337890649,Crescente
1200328,AC,2019,8317,Jordão,82098000,13878718,2063,4.0,4.1,1.8,3.8,9871.11,6727.44,0.5409664601194255,0.540966460119426,0.5432201458811868,0.9819999999999979,0.5432201458811869,0.5409664601194252,0.9958512478249394,Crescente
1200351,AC,2019,18867,Marechal Thaumaturgo,194430000,28021944,4406,4.5,3.9,2.2,5.3,10305.29,6359.95,0.5235397201173122,0.5235397201173118,0.5301039800087162,0.9780000000000006,0.5301039800087162,0.5235397201173122,0.9876170333765537,Crescente
1200385,AC,2019,19761,Plácido de Castro,276129000,12781324,1340,4.8,4.3,2.3,7.4,13973.43,9538.3,0.3911116020288172,0.3911116020288182,0.3936243845966432,0.9770000000000024,0.39362438459664306,0.3911116020288172,0.99361629343568,Crescente
1200435,AC,2019,6540,Santa Rosa do Purus,79725000,10861801,2005,3.7,4.0,4.3,7.7,12190.37,5417.36,0.4790042795475741,0.47900427954757446,0.4862825113019645,0.9569999999999994,0.4862825113019645,0.4790042795475741,0.9850329148483999,Crescente
1300086,AM,2019,13614,Anamã,125494000,9280504,1420,4.9,4.1,0.4,4.1,9218.01,6535.57,0.5918450052525664,0.5918450052525562,0.6779497324258595,0.996000000000016,0.5918450052525664,0.6779497324258598,0.8729924608640368,Crescente
1300102,AM,2019,21010,Anori,200709000,15061034,1725,5.2,4.8,2.8,3.9,9553.02,8731.03,0.5498696822730531,0.5498696822730523,0.5545518427621446,0.9720000000000013,0.5545518427621449,0.5498696822730529,0.991556857036539,Crescente
1300144,AM,2019,21973,Apuí,252677000,11101548,1315,4.5,4.0,2.5,6.0,11499.43,8442.24,0.4460194307045845,0.4460194307045859,0.45183203375779923,0.9749999999999969,0.45183203375779896,0.4460194307045845,0.9871354781889358,Crescente
