id_municipio,ano,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais
1501402,2019,1.1,1.2
2104800,2019,0.5,1.0
2107308,2019,0.7,4.9
2111805,2019,1.0,3.5
2513943,2019,0.6,3.6
2920205,2019,1.5,5.0
4311007,2019,0.2,3.8
4314407,2019,0.7,1.5
4314902,2019,0.0,0.0
2110203,2019,0.3,1.1
2925303,2019,1.9,5.4
3118304,2019,0.1,0.1
3123205,2019,0.2,4.3
3151800,2019,0.2,0.8
3172004,2019,0.0,2.4
3306305,2019,0.3,1.2
3554102,2019,0.0,0.2
5218789,2019,0.0,0.6
3304201,2019,0.2,0.5
2108603,2019,0.7,2.7
2904001,2019,1.2,2.1
2920403,2019,2.0,9.2
3140506,2019,0.0,7.2
3145877,2019,0.7,3.9
5218300,2019,0.0,0.0
3300233,2019,0.7,3.0
3303906,2019,0.5,1.6
3520103,2019,0.0,0.0
3536505,2019,0.1,1.4
3547304,2019,0.0,0.0
4209300,2019,0.2,1.9
5205901,2019,0.0,0.0
2925501,2019,2.5,5.9
3540705,2019,0.0,0.3
2920502,2019,1.5,4.5
3118601,2019,0.2,1.0
3533502,2019,0.0,0.0
4310207,2019,0.0,0.2
4318309,2019,1.8,4.4
5212303,2019,0.6,2.4
3552403,2019,0.3,0.7
2928901,2019,0.8,3.4
4309209,2019,0.9,2.3
5002704,2019,0.1,0.3
2501807,2019,2.2,4.1
3300209,2019,0.6,1.4
3300704,2019,1.7,6.0
3300803,2019,0.3,7.4
3552007,2019,0.0,0.8
3555406,2019,0.0,0.7
1100031,2019,0.0,
1100106,2019,0.8,
1100296,2019,0.0,
1100452,2019,0.2,
1100502,2019,0.0,
1101104,2019,0.2,
1101468,2019,0.0,
1101484,2019,0.0,
1200104,2019,0.4,
1200302,2019,3.1,11.9
1200708,2019,1.9,
1301407,2019,3.3,6.4
1303502,2019,8.2,0.0
1400100,2019,0.4,
1400233,2019,1.0,
1400308,2019,0.6,
1400407,2019,0.0,0.0
1503408,2019,1.4,
1506104,2019,0.2,
1506112,2019,0.9,
1600055,2019,0.7,
1600105,2019,0.7,
1600154,2019,0.3,
1600402,2019,0.1,
1600550,2019,1.4,
1701002,2019,0.0,
1701051,2019,0.0,
1701309,2019,0.2,
1702406,2019,0.2,4.2
1702703,2019,1.8,
1703305,2019,0.0,2.3
1703826,2019,0.5,
1703909,2019,0.0,
1707306,2019,0.0,
1707652,2019,0.0,
1708304,2019,0.0,
1710508,2019,0.0,
1710904,2019,0.0,
1711100,2019,0.0,
1712157,2019,0.0,
1712405,2019,0.7,6.8
1712454,2019,0.4,
1713809,2019,0.0,
1715101,2019,0.0,0.0
1715150,2019,0.0,
1715754,2019,0.0,
1716109,2019,0.0,
1716307,2019,1.6,0.0
1716703,2019,0.4,
1717206,2019,1.5,
1718709,2019,0.0,
1718808,2019,0.0,
1718865,2019,0.0,0.0
1720150,2019,1.2,
1720853,2019,0.0,
1720937,2019,0.4,
1721307,2019,0.0,
2411429,2019,0.5,
2931103,2019,1.3,
3100401,2019,0.0,
3101631,2019,0.0,
3102100,2019,0.0,
3102308,2019,0.0,
3102605,2019,0.0,
3102852,2019,0.0,
3103108,2019,1.1,
3103306,2019,1.0,
3103801,2019,0.0,
3103900,2019,0.0,
3104304,2019,0.0,
3104601,2019,0.0,
3105004,2019,0.4,
3105301,2019,0.0,
3105707,2019,0.0,
3106002,2019,0.0,
3106408,2019,0.4,
3106606,2019,0.0,
3106655,2019,0.0,
3107604,2019,0.0,
3107703,2019,0.0,
3107901,2019,0.0,
3108107,2019,0.0,
3108552,2019,0.3,
3109105,2019,0.0,
3109204,2019,0.5,
3109501,2019,0.2,
3109709,2019,0.0,
3110400,2019,0.0,
3110806,2019,0.0,
3111309,2019,0.2,
3111408,2019,0.0,
3111903,2019,0.3,
3112000,2019,0.0,
3112059,2019,1.4,
3112109,2019,0.3,
3112208,2019,0.0,
3112406,2019,0.2,
3113107,2019,0.0,
3113404,2019,0.1,
3113503,2019,0.0,0.0
3113602,2019,0.0,
3113909,2019,0.1,
3114105,2019,0.8,
3114204,2019,0.0,
3114550,2019,0.0,
3114600,2019,0.0,
3115102,2019,0.2,
3115201,2019,0.0,
3115458,2019,0.2,
3115508,2019,0.0,
3116100,2019,0.0,
3116407,2019,0.3,
3116803,2019,0.6,
3117108,2019,0.0,
3117207,2019,0.0,
3117702,2019,0.9,
3118502,2019,0.0,
3118700,2019,0.0,
3119005,2019,0.0,
3119708,2019,0.0,
3119807,2019,0.0,
3120102,2019,0.0,
3120300,2019,0.0,
3120607,2019,0.0,
3120839,2019,1.1,
3120870,2019,0.0,
3121407,2019,0.0,
3121704,2019,0.0,
3122405,2019,0.0,
3122454,2019,1.5,
3122504,2019,0.3,
3122801,2019,0.0,
3122900,2019,0.9,
3123007,2019,0.5,
3123304,2019,0.0,
3123528,2019,0.3,
3123858,2019,0.0,
3124302,2019,0.0,
3124401,2019,0.0,
3124500,2019,0.0,
3124609,2019,0.0,
3124708,2019,0.0,
3125200,2019,0.0,
3125309,2019,0.0,
3125804,2019,0.0,
3125903,2019,0.0,
3125952,2019,0.5,
3126000,2019,0.0,
3126752,2019,0.0,
3126901,2019,0.9,
3127073,2019,0.0,
3127305,2019,0.3,
3127354,2019,0.0,
3128006,2019,0.0,
3128253,2019,0.0,
3128600,2019,0.0,
3128709,2019,0.1,
3129004,2019,0.0,
3129202,2019,0.0,
3129400,2019,0.0,
3129905,2019,0.0,
3130101,2019,0.1,
3130309,2019,0.0,
3130556,2019,0.5,
3130804,2019,0.0,
3131000,2019,0.5,
3131158,2019,0.2,
3131604,2019,0.7,
3131802,2019,0.0,
3132206,2019,0.0,
3132800,2019,0.0,
3132909,2019,0.0,
3133006,2019,0.3,0.0
3133204,2019,0.2,
3133501,2019,0.0,
3133907,2019,0.0,
3134608,2019,0.1,
3135076,2019,0.3,
3135506,2019,0.0,
3136579,2019,0.3,
3137205,2019,0.0,
3137304,2019,0.0,
3137502,2019,0.2,
3137809,2019,0.2,
3138302,2019,0.0,
3138500,2019,0.4,
3138625,2019,0.0,
3138674,2019,0.0,
3140100,2019,0.7,
3140159,2019,0.1,
3140407,2019,0.0,
3140704,2019,0.2,
3141405,2019,0.0,
3142304,2019,0.2,
3142403,2019,0.0,
3143153,2019,0.0,
3143450,2019,0.3,
3143708,2019,0.0,
3144102,2019,0.0,
3144201,2019,0.0,
3144375,2019,0.0,
3144672,2019,0.8,
3144706,2019,0.1,
3145455,2019,0.0,
3145802,2019,0.0,
