id_municipio,sigla_uf,ano,quantidade_matricula
2301406,CE,2017,1901.0
2312601,CE,2017,1623.0
2304301,CE,2017,2527.0
2302305,CE,2017,3676.0
2308104,CE,2017,5775.0
2304202,CE,2017,11748.0
2301950,CE,2017,2965.0
2313203,CE,2017,3765.0
2313104,CE,2017,2923.0
2309003,CE,2017,1891.0
2310100,CE,2017,1342.0
5213772,GO,2017,354.0
5200209,GO,2017,109.0
5211404,GO,2017,352.0
5214804,GO,2017,0.0
5221304,GO,2017,209.0
5219456,GO,2017,190.0
5200050,GO,2017,1626.0
5201801,GO,2017,837.0
5206701,GO,2017,308.0
5219308,GO,2017,1993.0
5202155,GO,2017,559.0
5211305,GO,2017,434.0
5204656,GO,2017,425.0
5208301,GO,2017,502.0
5204607,GO,2017,332.0
5216403,GO,2017,984.0
2911600,BA,2017,3095.0
2902302,BA,2017,1090.0
2906303,BA,2017,4597.0
2922052,BA,2017,2199.0
2910727,BA,2017,14299.0
2908903,BA,2017,2548.0
2931053,BA,2017,2611.0
2908200,BA,2017,2223.0
2930402,BA,2017,2299.0
2912103,BA,2017,1736.0
2915106,BA,2017,1800.0
2909406,BA,2017,2364.0
2926202,BA,2017,3605.0
2908408,BA,2017,5809.0
2918605,BA,2017,798.0
2906709,BA,2017,4544.0
2923506,BA,2017,1469.0
2901809,BA,2017,1498.0
2902609,BA,2017,3185.0
2909000,BA,2017,1056.0
2907806,BA,2017,3516.0
2923100,BA,2017,3761.0
2915809,BA,2017,3495.0
2913101,BA,2017,2487.0
2929750,BA,2017,1501.0
2902252,BA,2017,1598.0
2909109,BA,2017,2176.0
2923209,BA,2017,3268.0
5300108,DF,2017,0.0
2705507,AL,2017,4896.0
2706901,AL,2017,4329.0
2705002,AL,2017,3765.0
2706604,AL,2017,1079.0
2709202,AL,2017,3872.0
1300029,AM,2017,2824.0
1303601,AM,2017,1381.0
1300607,AM,2017,7512.0
1301209,AM,2017,10283.0
1200104,AC,2017,2170.0
3203346,ES,2017,1906.0
3202405,ES,2017,13560.0
3201308,ES,2017,27200.0
3200201,ES,2017,835.0
3202900,ES,2017,592.0
2310902,CE,2017,1754.0
2312700,CE,2017,2684.0
2311009,CE,2017,1769.0
2310308,CE,2017,4486.0
2310803,CE,2017,2543.0
2311264,CE,2017,2570.0
5207808,GO,2017,435.0
5204904,GO,2017,2399.0
5214507,GO,2017,2613.0
5212105,GO,2017,705.0
5211503,GO,2017,7292.0
5218052,GO,2017,309.0
5204102,GO,2017,741.0
5214101,GO,2017,289.0
5218607,GO,2017,493.0
5213855,GO,2017,209.0
5214838,GO,2017,1270.0
5215801,GO,2017,78.0
5205513,GO,2017,2873.0
5200852,GO,2017,358.0
5215702,GO,2017,1694.0
5220504,GO,2017,694.0
5217203,GO,2017,630.0
5201454,GO,2017,463.0
5214879,GO,2017,254.0
5204250,GO,2017,731.0
2924207,BA,2017,2336.0
2901304,BA,2017,2349.0
2933505,BA,2017,3682.0
2924801,BA,2017,2523.0
2902401,BA,2017,2050.0
2933406,BA,2017,1168.0
2928703,BA,2017,7433.0
2931004,BA,2017,2814.0
2929057,BA,2017,2083.0
2903409,BA,2017,3762.0
2904803,BA,2017,981.0
2925105,BA,2017,7215.0
2922102,BA,2017,2576.0
2919207,BA,2017,18171.0
2921609,BA,2017,1402.0
2930303,BA,2017,2173.0
2931301,BA,2017,2367.0
2904753,BA,2017,3699.0
2902054,BA,2017,1860.0
2905206,BA,2017,5516.0
2931350,BA,2017,17896.0
2930766,BA,2017,1729.0
2917102,BA,2017,2453.0
2933257,BA,2017,1052.0
2919306,BA,2017,1576.0
1600402,AP,2017,1456.0
1600808,AP,2017,1896.0
2708006,AL,2017,5353.0
1300508,AM,2017,5920.0
1301704,AM,2017,6399.0
1302504,AM,2017,11869.0
3204203,ES,2017,2375.0
3202652,ES,2017,1131.0
3202009,ES,2017,588.0
3200805,ES,2017,2549.0
3205036,ES,2017,2032.0
3200706,ES,2017,1446.0
3205010,ES,2017,3263.0
2303006,CE,2017,2609.0
2304004,CE,2017,2956.0
2305209,CE,2017,2506.0
2314003,CE,2017,4439.0
2301703,CE,2017,2920.0
2303105,CE,2017,2278.0
2302800,CE,2017,9552.0
2304954,CE,2017,3435.0
