id_municipio,sigla_uf,ano,ideb_iniciais,ideb_finais
5107263,MT,2017,,
3167608,MG,2017,,3.0
3168200,MG,2017,,5.1
5213400,GO,2017,,
4200705,SC,2017,6.7,
1400050,RR,2017,4.5,
1100288,RO,2017,5.7,
5213905,GO,2017,7.3,
1100254,RO,2017,6.1,
2803807,SE,2017,4.2,
3107505,MG,2017,6.3,
4319703,RS,2017,7.3,
1200708,AC,2017,4.7,
5103304,MT,2017,5.7,
1508209,PA,2017,4.1,
3113305,MG,2017,5.3,
1501709,PA,2017,3.9,
5004809,MS,2017,,
2207793,PI,2017,,3.6
3165206,MG,2017,,
4218954,SC,2017,,
2924058,BA,2017,,3.7
4304713,RS,2017,,
1704600,TO,2017,4.1,
5103254,MT,2017,5.5,
3201803,ES,2017,,
3305158,RJ,2017,,
4204905,SC,2017,6.6,
3155108,MG,2017,,
3546801,SP,2017,6.6,
3134004,MG,2017,6.2,
4322376,RS,2017,,
4314456,RS,2017,,
4302600,RS,2017,,
4210001,SC,2017,6.5,
1101492,RO,2017,5.5,
1716208,TO,2017,3.8,
5202809,GO,2017,6.8,
1702208,TO,2017,4.8,
3126901,MG,2017,5.2,
5202353,GO,2017,5.8,
3117009,MG,2017,5.5,
2804409,SE,2017,,
3122470,MG,2017,,4.5
4309159,RS,2017,,
4304614,RS,2017,,
3538600,SP,2017,6.4,
4219101,SC,2017,6.5,
1300904,AM,2017,3.6,
2203602,PI,2017,4.4,
4316436,RS,2017,6.6,
3140704,MG,2017,6.2,
5102850,MT,2017,5.2,
4302378,RS,2017,6.2,
3126802,MG,2017,5.8,
3305901,RJ,2017,5.9,
3159407,MG,2017,,4.5
2903102,BA,2017,,3.4
4305116,RS,2017,,
4311130,RS,2017,,
4311239,RS,2017,,
3103306,MG,2017,,
2206357,PI,2017,,
5200175,GO,2017,5.3,
5100359,MT,2017,,
2919603,BA,2017,4.2,
5106000,MT,2017,5.8,
3118403,MG,2017,6.1,
4214607,SC,2017,7.3,
4207908,SC,2017,7.6,
5106190,MT,2017,5.8,
3121100,MG,2017,7.2,
