id_municipio,sigla_uf,ano,valor
2700508,AL,2019,16031506
2707800,AL,2019,12271823
2702108,AL,2019,22229233
2705309,AL,2019,8345704
2705200,AL,2019,20935148
2706000,AL,2019,19358661
2707503,AL,2019,17130375
2709004,AL,2019,8944876
2700607,AL,2019,11176127
2702504,AL,2019,15756284
2705606,AL,2019,13179853
2708956,AL,2019,16913413
2704906,AL,2019,4417911
2707701,AL,2019,61050523
2702405,AL,2019,45292960
2708709,AL,2019,11330310
2701357,AL,2019,8627169
2702801,AL,2019,28081921
2703007,AL,2019,14914418
5105580,MT,2019,10062296
5102694,MT,2019,5056268
5103403,MT,2019,454146405
5106109,MT,2019,14770629
5102702,MT,2019,20629717
5106299,MT,2019,17214203
5102686,MT,2019,17961600
5108956,MT,2019,7074218
5103957,MT,2019,3286097
5101001,MT,2019,5109944
5100409,MT,2019,10370628
5107875,MT,2019,41542183
5106232,MT,2019,16090998
5107883,MT,2019,3898719
5103700,MT,2019,12963408
5107925,MT,2019,109523749
5105622,MT,2019,17173454
5106851,MT,2019,3446255
5106208,MT,2019,3276600
5104807,MT,2019,19099416
5106307,MT,2019,23385887
5103205,MT,2019,25153210
5101803,MT,2019,40642749
5102637,MT,2019,46297634
5103502,MT,2019,29004518
5106000,MT,2019,5545242
5103254,MT,2019,22911514
5108808,MT,2019,4646272
5106257,MT,2019,10393731
5103858,MT,2019,10169138
5106265,MT,2019,8487428
5108055,MT,2019,10028015
5106828,MT,2019,11603004
5103106,MT,2019,8040327
5101209,MT,2019,1859966
5106653,MT,2019,3367896
5107180,MT,2019,9126151
5107701,MT,2019,14222969
2607950,PE,2019,12533299
2616209,PE,2019,18285400
2606606,PE,2019,17060913
2610905,PE,2019,48564659
2603900,PE,2019,20949462
2606002,PE,2019,90757335
2604106,PE,2019,215637571
2611200,PE,2019,11515430
2610004,PE,2019,32980403
2602506,PE,2019,8659778
2609402,PE,2019,33041597
2601300,PE,2019,8280469
2609709,PE,2019,24438081
2608503,PE,2019,18037073
2612406,PE,2019,19237695
2616308,PE,2019,26036647
2600807,PE,2019,10556296
2609105,PE,2019,9440688
2616506,PE,2019,19830420
2602407,PE,2019,9028054
2614006,PE,2019,15837837
2609303,PE,2019,11077020
2604601,PE,2019,17312642
2603801,PE,2019,14948518
2612554,PE,2019,13178329
2609501,PE,2019,18145452
2607752,PE,2019,23088710
2607653,PE,2019,21667383
2603926,PE,2019,7630330
2610806,PE,2019,15722172
2614204,PE,2019,33840355
2601607,PE,2019,17640335
2607901,PE,2019,350696511
2610608,PE,2019,43121877
2613701,PE,2019,57620144
2612505,PE,2019,58285573
2601904,PE,2019,32377138
2603454,PE,2019,46366466
2604304,PE,2019,7949487
2615706,PE,2019,14141076
2615904,PE,2019,8298022
2606903,PE,2019,10016702
2609907,PE,2019,44241983
2615201,PE,2019,9526404
2602001,PE,2019,25856747
2611101,PE,2019,296023501
2605509,PE,2019,7803633
2601805,PE,2019,11610248
2612471,PE,2019,9008444
2604700,PE,2019,18975802
1506161,PA,2019,17938961
1506559,PA,2019,21458868
1508357,PA,2019,45828750
1505486,PA,2019,43611299
1506500,PA,2019,48483017
1503408,PA,2019,7601705
1505809,PA,2019,85528294
1505601,PA,2019,8069995
1504059,PA,2019,34927345
1500909,PA,2019,58289547
1507508,PA,2019,18359182
1506401,PA,2019,7409748
1500800,PA,2019,168830244
1505650,PA,2019,29653311
1503093,PA,2019,37866753
1505304,PA,2019,82486106
1505403,PA,2019,17509637
1504752,PA,2019,19423605
1508308,PA,2019,82656420
1504505,PA,2019,43472417
1501956,PA,2019,25660977
1501725,PA,2019,19090052
1501501,PA,2019,48621911
1506807,PA,2019,275509563
1506195,PA,2019,27293626
1505502,PA,2019,111787343
1501907,PA,2019,31428585
1507300,PA,2019,80914610
1506583,PA,2019,19685880
1501402,PA,2019,517282410
1507607,PA,2019,59954825
1500206,PA,2019,88267932
1501006,PA,2019,16166891
1507961,PA,2019,8283355
1507904,PA,2019,18507103
1500503,PA,2019,48249487
1505106,PA,2019,53630370
1501576,PA,2019,15206478
1502608,PA,2019,10182417
1501808,PA,2019,129036522
1507151,PA,2019,24059866
1505494,PA,2019,9371479
1501105,PA,2019,30275848
1504901,PA,2019,37010272
1506302,PA,2019,26212270
1502954,PA,2019,35002416
1508100,PA,2019,90802330
1507102,PA,2019,15172279
2211001,PI,2019,497616100
2200301,PI,2019,16289753
2201572,PI,2019,4881849
2209906,PI,2019,5227300
2209302,PI,2019,4957259
2203420,PI,2019,5237647
2203271,PI,2019,6845064
2207009,PI,2019,31648867
2209104,PI,2019,4744280
2210201,PI,2019,4584563
2210375,PI,2019,2978001
2210706,PI,2019,18996661
2207207,PI,2019,7493379
2201176,PI,2019,4451297
2208601,PI,2019,3882948
2209005,PI,2019,5794843
2205102,PI,2019,12001326
2202406,PI,2019,13293385
2209377,PI,2019,4841411
2202251,PI,2019,4894069
2205581,PI,2019,5212626
2209500,PI,2019,3780521
2201556,PI,2019,3800187
2201606,PI,2019,14622573
2207793,PI,2019,4048382
2209971,PI,2019,10175004
2204303,PI,2019,7808350
2210953,PI,2019,3738410
2207603,PI,2019,11338218
2208551,PI,2019,2869091
2204501,PI,2019,10295327
2203701,PI,2019,28104723
2208908,PI,2019,8365759
2208809,PI,2019,13834889
2204600,PI,2019,3511894
2202026,PI,2019,8675172
2204402,PI,2019,11435323
2208007,PI,2019,41668996
2202778,PI,2019,7223501
2203859,PI,2019,3255617
2200053,PI,2019,6083004
2205151,PI,2019,6191219
2208858,PI,2019,7787403
2207306,PI,2019,6491322
2200277,PI,2019,4791246
2205953,PI,2019,11147835
2202851,PI,2019,4779196
2206506,PI,2019,7949310
2208403,PI,2019,46654223
2202901,PI,2019,21423355
2201101,PI,2019,10649964
2206696,PI,2019,10253455
2207801,PI,2019,19880469
2205573,PI,2019,7626414
2211704,PI,2019,3721375
2205300,PI,2019,4998520
2202802,PI,2019,5154734
2209609,PI,2019,3471484
2205599,PI,2019,5538952
2204709,PI,2019,11182215
2205805,PI,2019,25579159
2210631,PI,2019,5695328
2201200,PI,2019,48268053
2202653,PI,2019,7214312
2205276,PI,2019,6592452
2210383,PI,2019,3257842
2201705,PI,2019,5218097
2205904,PI,2019,4555048
2200905,PI,2019,5548423
2207751,PI,2019,6339616
2206654,PI,2019,5619398
2207405,PI,2019,4913386
2204550,PI,2019,5210000
2203008,PI,2019,6792857
2205854,PI,2019,13068472
2409506,RN,2019,6933272
2412005,RN,2019,69504282
2410801,RN,2019,3356855
2410207,RN,2019,5958522
2414308,RN,2019,3675186
2412401,RN,2019,4192574
2402907,RN,2019,5241444
2403202,RN,2019,7404879
2414407,RN,2019,33600179
2401701,RN,2019,9155307
2402105,RN,2019,13070920
2409407,RN,2019,14873565
2404705,RN,2019,13120554
2405306,RN,2019,9209394
2407104,RN,2019,53096855
2401602,RN,2019,6855679
2408300,RN,2019,26231220
2414209,RN,2019,15441229
2408508,RN,2019,3226940
2405009,RN,2019,5996348
2403905,RN,2019,3676176
2405603,RN,2019,10863110
