id_municipio,sigla_uf,ano,populacao,nome,pib,gastos_educacao,quantidade_matricula,ideb_iniciais,ideb_finais,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,pib_per_capita,gasto_por_aluno
1300805,AM,2017,40464,Borba,296371000,36540166,5145,4.8,3.7,3.0,10.5,7324.31,7102.07
1300805,AM,2019,41161,Borba,330380000,34839612,4846,4.0,3.7,2.8,9.5,8026.53,7189.35
1301100,AM,2017,37399,Careiro,272854000,32275073,5150,4.5,3.9,2.5,11.4,7295.76,6267.0
1301100,AM,2019,37869,Careiro,340672000,41180172,4840,4.3,3.8,2.0,5.5,8996.07,8508.3
1301159,AM,2017,29190,Careiro da Várzea,313356000,16756592,2694,4.1,3.9,1.3,4.6,10735.05,6219.97
1301159,AM,2019,30225,Careiro da Várzea,318688000,18699547,2595,4.0,3.3,1.6,3.5,10543.85,7205.99
1301209,AM,2017,84762,Coari,1322937000,58586012,10283,3.8,3.0,3.5,11.3,15607.67,5697.37
1301209,AM,2019,85097,Coari,2253992000,76833233,9131,4.0,3.4,1.6,7.8,26487.33,8414.55
1301308,AM,2017,27817,Codajás,464273000,14891127,2289,4.3,3.0,4.3,15.8,16690.26,6505.52
1301308,AM,2019,28637,Codajás,505889000,18858472,2229,4.6,3.7,1.5,7.3,17665.57,8460.51
1301506,AM,2017,19492,Envira,148766000,12600923,2398,2.9,2.5,12.0,26.2,7632.16,5254.76
1301506,AM,2019,20033,Envira,172414000,14528195,2151,2.3,2.4,4.4,8.8,8606.5,6754.16
1301704,AM,2017,53383,Humaitá,556079000,33954385,6399,4.3,3.6,2.1,8.6,10416.78,5306.2
1301704,AM,2019,55080,Humaitá,721855000,38988507,6284,4.3,3.7,2.6,8.3,13105.57,6204.41
1301852,AM,2017,47407,Iranduba,697064000,54595291,9234,4.5,4.1,2.3,7.4,14703.82,5912.42
1301852,AM,2019,48296,Iranduba,691801000,54437180,8949,5.1,4.4,2.2,4.8,14324.19,6083.05
1301902,AM,2017,99854,Itacoatiara,1979493000,84550783,13482,5.2,4.4,1.9,4.3,19823.87,6271.38
1301902,AM,2019,101337,Itacoatiara,2070851000,87799359,13028,5.0,4.1,1.2,3.2,20435.29,6739.28
1302009,AM,2017,9125,Itapiranga,107713000,8377295,1093,4.4,3.7,2.3,7.2,11804.16,7664.5
1302009,AM,2019,9148,Itapiranga,129499000,10655565,1034,4.2,4.1,1.8,9.0,14155.99,10305.19
1302306,AM,2017,15824,Jutaí,218569000,25338925,4573,3.7,3.2,8.9,12.8,13812.5,5540.99
1302306,AM,2019,14317,Jutaí,230654000,33169420,5127,3.7,3.3,5.9,10.0,16110.5,6469.56
1302504,AM,2017,96460,Manacapuru,1526357000,64496599,11869,4.9,3.8,2.3,7.5,15823.73,5434.04
1302504,AM,2019,97377,Manacapuru,1502525000,73604902,12606,5.3,4.6,0.6,2.1,15429.98,5838.88
1302553,AM,2017,30222,Manaquiri,236248000,18158474,3203,4.2,3.8,2.0,5.9,7817.09,5669.21
1302553,AM,2019,32105,Manaquiri,259773000,21861059,3088,3.3,3.5,1.5,2.0,8091.36,7079.36
1302603,AM,2017,2130264,Manaus,73225449000,1145513846,168953,5.8,4.7,0.7,2.4,34373.88,6780.07
1302603,AM,2019,2182763,Manaus,84566043000,1328240564,173586,5.9,4.8,0.4,1.4,38742.66,7651.77
1302702,AM,2017,54708,Manicoré,495881000,38010714,6682,4.8,3.8,3.5,8.8,9064.14,5688.52
1302702,AM,2019,55751,Manicoré,560803000,41600317,6557,4.6,4.2,2.8,7.1,10059.07,6344.41
1302801,AM,2017,18531,Maraã,153885000,21995306,3376,3.2,3.1,3.2,12.0,8304.19,6515.2
1302801,AM,2019,18224,Maraã,140342000,24332096,3106,3.5,3.3,4.4,11.5,7700.94,7833.9
1302900,AM,2017,62212,Maués,459063000,52658908,9969,4.8,3.8,2.6,11.9,7379.01,5282.27
1302900,AM,2019,63905,Maués,551175000,62366095,9645,5.0,4.0,2.0,8.9,8624.91,6466.16
1303007,AM,2017,20902,Nhamundá,142267000,15023598,2669,5.1,4.3,0.8,2.7,6806.38,5628.92
1303007,AM,2019,21173,Nhamundá,168137000,15526296,2577,4.5,4.0,0.6,2.9,7941.1,6024.95
1303106,AM,2017,36431,Nova Olinda do Norte,234351000,27625205,4376,4.3,3.5,2.8,10.3,6432.74,6312.89
1303106,AM,2019,37378,Nova Olinda do Norte,278282000,29132577,4197,4.3,4.2,2.3,6.9,7445.07,6941.29
