city_id,state,year,population,city_name,gdp,education_spending,enrollments,ideb_initial_years,ideb_final_years,dropout_rates_initial_years,dropout_rates_final_years,gdp_per_capita,spending_per_student,educ_pct_gdp,is_complete_grouped,DEA_crs_input,DEA_crs_output,DEA_vrs_input,DEA_vrs_output,DEA_irs_input,DEA_drs_input,DEA_scale_efficiency,DEA_returns_nature,rank_vrs,pct_var_vrs,pct_var_scale,category_vrs,category_scale,delta_vrs_median,delta_scale_median,state_avg_vrs,state_avg_scale,peer_group
2601300,PE,2017,14224,Barra de Guabiraba,101790000,7615119,1809,6.4,4.2,0.4,8.2,7156.21,4209.57,7.48,True,0.938042766504069,0.9380427665040535,1.0,1.0,0.9380427665040691,1.0,0.938042766504069,Decreasing,16,,,Efficient,Efficient,0.4496316532139454,0.0619344048181405,0.6514456149434942,0.8878450486748218,Large
2112704,MA,2017,56511,Vargem Grande,307783000,43569835,8904,4.3,4.0,0.7,1.0,5446.43,4893.29,14.16,True,0.9324436375065308,0.9324436375065317,1.0,1.0,0.9324436375065317,1.0,0.9324436375065308,Decreasing,17,,,Efficient,Efficient,0.4496316532139454,0.05633527582060227,0.7365375875316906,0.9225552417346308,Mega
2100477,MA,2017,31312,Alto Alegre do Pindaré,181816000,31608153,5858,5.5,4.7,0.1,0.7,5806.59,5395.72,17.38,True,0.9305135691296855,0.9305135691296481,1.0,1.0,0.9305135691296855,1.0,0.9305135691296855,Decreasing,18,,,Efficient,Efficient,0.4496316532139454,0.05440520744375699,0.7365375875316906,0.9225552417346308,Mega
2110500,MA,2017,46039,São Bento,257121000,26851103,5590,4.9,3.6,0.0,1.7,5584.85,4803.42,10.44,True,0.9152032311352223,0.915203231135226,1.0,1.0,0.9152032311352218,1.0,0.9152032311352223,Decreasing,19,,,Efficient,Efficient,0.4496316532139454,0.039094869449293745,0.7365375875316906,0.9225552417346308,Mega
2304905,CE,2017,11012,Groaíras,77900000,9226172,1311,7.8,5.9,0.0,0.0,7074.1,7037.51,11.84,True,0.9102693799000902,0.9102693799000786,1.0,1.0,0.9102693799000893,1.0,0.9102693799000902,Decreasing,20,,,Efficient,Efficient,0.4496316532139454,0.03416101821416162,0.7809535445944192,0.8674044749881739,Medium
2203420,PI,2017,4287,Domingos Mourão,31910000,4409534,723,7.1,5.9,0.0,1.0,7443.43,6098.94,13.82,True,0.9036736382351607,0.9036736382351951,1.0,1.0,0.9036736382351632,1.0,0.9036736382351607,Decreasing,21,,,Efficient,Efficient,0.4496316532139454,0.02756527654923213,0.6932881184607074,0.9051242737320218,Small
2203453,PI,2017,9404,Dom Inocêncio,56718000,6599150,1160,5.8,4.5,0.0,0.2,6031.26,5688.92,11.64,True,0.900920535428663,0.9009205354286574,1.0,1.0,0.9009205354286668,1.0,0.900920535428663,Decreasing,22,,,Efficient,Efficient,0.4496316532139454,0.024812173742734478,0.6932881184607074,0.9051242737320218,Medium
2304251,CE,2017,23983,Cruz,229864000,20542183,3765,7.7,6.4,0.1,0.2,9584.46,5456.09,8.94,True,0.8783841001025209,0.8783841001025173,1.0,1.0,0.878384100102471,1.0,0.8783841001025209,Decreasing,23,,,Efficient,Efficient,0.4496316532139454,0.0022757384165923433,0.7809535445944192,0.8674044749881739,Large
2306603,CE,2017,20675,Itatira,130468000,29818280,3828,7.2,5.7,0.0,0.1,6310.42,7789.52,22.85,True,0.8771669444397634,0.8771669444397618,1.0,1.0,0.8771669444397633,1.0,0.8771669444397634,Decreasing,24,,,Efficient,Efficient,0.4496316532139454,0.001058582753834858,0.7809535445944192,0.8674044749881739,Large
2314102,CE,2017,60030,Viçosa do Ceará,413429000,48686992,9351,6.2,5.0,0.0,0.8,6887.04,5206.61,11.78,True,0.8771522699213217,0.8771522699213413,1.0,1.0,0.8771522699213216,1.0,0.8771522699213217,Decreasing,25,,,Efficient,Efficient,0.4496316532139454,0.0010439082353931317,0.7809535445944192,0.8674044749881739,Mega
